0,0,0,-0.17365,0,0.98481
-0.15071,0,0.85473,-0.17365,0,0.98481
-0.30142,0,1.70946,-0.16168,0,0.98684
-0.43132,0,2.56748,-0.14443,0,0.98951
-0.55211,0,3.42695,-0.13241,0,0.99119
-0.66114,0,4.28786,-0.11509,0,0.99336
-0.75186,0,5.15102,-0.10302,0,0.99468
-0.83996,0,6.01441,-0.08564,0,0.99633
-0.9005,0,6.88021,-0.06975,0,0.99756
-0.96104,0,7.74601,-0.05613,0,0.99842
-0.99791,0,8.61305,-0.03869,0,0.99925
-1.0282,0,9.48044,-0.03281,0,0.99946
-1.05487,0,10.34794,-0.02845,0,0.9996
-1.07759,0,11.21555,-0.02588,0,0.99967
-1.09979,0,12.08318,-0.02413,0,0.99971
-1.11948,0,12.95087,-0.02269,0,0.99974
-1.13917,0,13.81857,-0.02193,0,0.99976
-1.15754,0,14.68629,-0.02106,0,0.99978
-1.17572,0,15.55401,-0.02094,0,0.99978
-1.19389,0,16.42173,-0.02094,0,0.99978
-1.21207,0,17.28946,-0.02072,0,0.99979
1.21207,0,17.28946,-0.02072,0,-0.99979
1.19389,0,16.42173,-0.02094,0,-0.99978
1.17572,0,15.55401,-0.02094,0,-0.99978
1.15754,0,14.68629,-0.02106,0,-0.99978
1.13917,0,13.81857,-0.02193,0,-0.99976
1.11948,0,12.95087,-0.02269,0,-0.99974
1.09979,0,12.08318,-0.02413,0,-0.99971
1.07759,0,11.21555,-0.02588,0,-0.99967
1.05487,0,10.34794,-0.02845,0,-0.9996
1.0282,0,9.48044,-0.03281,0,-0.99946
0.99791,0,8.61305,-0.03869,0,-0.99925
0.96104,0,7.74601,-0.05613,0,-0.99842
0.9005,0,6.88021,-0.06975,0,-0.99756
0.83996,0,6.01441,-0.08564,0,-0.99633
0.75186,0,5.15102,-0.10302,0,-0.99468
0.66114,0,4.28786,-0.11509,0,-0.99336
0.55211,0,3.42695,-0.13241,0,-0.99119
0.43132,0,2.56748,-0.14443,0,-0.98951
0.30142,0,1.70946,-0.16168,0,-0.98684
0.15071,0,0.85473,-0.17365,0,-0.98481
0,0,0,-0.17365,0,-0.98481
0,10,0.33973,-0.17365,0,0.98481
-0.15071,10,1.19446,-0.17365,0,0.98481
-0.30142,10,2.04919,-0.16168,0,0.98684
-0.43132,10,2.90721,-0.14443,0,0.98951
-0.55211,10,3.76668,-0.13241,0,0.99119
-0.66114,10,4.62759,-0.11509,0,0.99336
-0.75186,10,5.49075,-0.10302,0,0.99468
-0.83996,10,6.35414,-0.08564,0,0.99633
-0.9005,10,7.21994,-0.06975,0,0.99756
-0.96104,10,8.08574,-0.05613,0,0.99842
-0.99791,10,8.95278,-0.03869,0,0.99925
-1.0282,10,9.82017,-0.03281,0,0.99946
-1.05487,10,10.68767,-0.02845,0,0.9996
-1.07759,10,11.55528,-0.02588,0,0.99967
-1.09979,10,12.42291,-0.02413,0,0.99971
-1.11948,10,13.2906,-0.02269,0,0.99974
-1.13917,10,14.1583,-0.02193,0,0.99976
-1.15754,10,15.02602,-0.02106,0,0.99978
-1.17572,10,15.89374,-0.02094,0,0.99978
-1.19389,10,16.76146,-0.02094,0,0.99978
-1.21207,10,17.62919,-0.02072,0,0.99979
-1.22985,10,18.49692,-0.01984,0,0.9998
1.22985,10,18.49692,-0.01984,0,-0.9998
1.21207,10,17.62919,-0.02072,0,-0.99979
1.19389,10,16.76146,-0.02094,0,-0.99978
1.17572,10,15.89374,-0.02094,0,-0.99978
1.15754,10,15.02602,-0.02106,0,-0.99978
1.13917,10,14.1583,-0.02193,0,-0.99976
1.11948,10,13.2906,-0.02269,0,-0.99974
1.09979,10,12.42291,-0.02413,0,-0.99971
1.07759,10,11.55528,-0.02588,0,-0.99967
1.05487,10,10.68767,-0.02845,0,-0.9996
1.0282,10,9.82017,-0.03281,0,-0.99946
0.99791,10,8.95278,-0.03869,0,-0.99925
0.96104,10,8.08574,-0.05613,0,-0.99842
0.9005,10,7.21994,-0.06975,0,-0.99756
0.83996,10,6.35414,-0.08564,0,-0.99633
0.75186,10,5.49075,-0.10302,0,-0.99468
0.66114,10,4.62759,-0.11509,0,-0.99336
0.55211,10,3.76668,-0.13241,0,-0.99119
0.43132,10,2.90721,-0.14443,0,-0.98951
0.30142,10,2.04919,-0.14969,0,-0.98873
0.15071,10,1.19446,-0.17365,0,-0.98481
0,10,0.33973,-0.17365,0,-0.98481
0,20,0.79315,-0.17365,0,0.98481
-0.15071,20,1.64788,-0.17365,0,0.98481
-0.30142,20,2.50261,-0.16168,0,0.98684
-0.43132,20,3.36063,-0.14443,0,0.98951
-0.55211,20,4.2201,-0.13241,0,0.99119
-0.66114,20,5.08101,-0.11509,0,0.99336
-0.75186,20,5.94417,-0.10302,0,0.99468
-0.83996,20,6.80756,-0.08564,0,0.99633
-0.9005,20,7.67336,-0.06975,0,0.99756
-0.96104,20,8.53916,-0.05613,0,0.99842
-0.99791,20,9.4062,-0.03869,0,0.99925
-1.0282,20,10.27359,-0.03281,0,0.99946
-1.05487,20,11.14109,-0.02845,0,0.9996
-1.07759,20,12.0087,-0.02588,0,0.99967
-1.09979,20,12.87633,-0.02413,0,0.99971
-1.11948,20,13.74402,-0.02269,0,0.99974
-1.13917,20,14.61172,-0.02193,0,0.99976
-1.15754,20,15.47944,-0.02106,0,0.99978
-1.17572,20,16.34716,-0.02094,0,0.99978
-1.19389,20,17.21488,-0.02094,0,0.99978
-1.21207,20,18.08261,-0.02072,0,0.99979
-1.22985,20,18.95034,-0.01984,0,0.9998
1.22985,20,18.95034,-0.01984,0,-0.9998
1.21207,20,18.08261,-0.02072,0,-0.99979
